# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "2" "-a" "./genome/chr1-hg19_genes.gtf" "-o" "./results/RNA_seq_featurecounts.txt" "./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam
ARTN	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44398992;44398992;44398992;44399784;44399784;44401262;44401262;44401262;44401741;44401741;44401765;44401974;44401974;44401974	44399557;44399557;44399557;44399932;44399932;44401388;44401388;44401388;44401903;44401903;44401903;44402912;44402912;44402912	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1944	0	0	0	0	0	0
IPO13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44412478;44415089;44421992;44422232;44422482;44422867;44423074;44423649;44423914;44424133;44424418;44425921;44426548;44426838;44429941;44432247;44432396;44432602;44432987;44433258	44413356;44415825;44422132;44422373;44422648;44422987;44423221;44423830;44423940;44424267;44424561;44426001;44426685;44426934;44429993;44432313;44432454;44432691;44433168;44433694	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4027	0	0	0	1	0	2
DPH2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44435653;44435653;44436268;44436268;44436638;44436638;44437059;44437830;44437830;44438087;44438087	44435994;44435994;44436380;44436380;44436861;44436861;44437742;44438006;44438006;44439043;44439043	+;+;+;+;+;+;+;+;+;+;+	2497	1	0	0	1	1	0
ATP6V0B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44440602;44440602;44441472;44441762;44441762;44441974;44441974;44442262;44442262;44442445;44442445;44442698;44442698;44443653;44443653	44440779;44440779;44441520;44441845;44441845;44442051;44442051;44442331;44442331;44442496;44442496;44442888;44442888;44443972;44443972	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1022	0	0	0	0	0	0
B4GALT2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44444874;44445608;44446177;44446781;44446781;44446781;44447361;44447361;44447361;44450537;44450537;44450537;44450950;44450950;44450950;44451189;44451189;44451189;44455970;44455970;44455970	44445183;44445718;44446286;44447145;44447145;44447145;44447596;44447596;44447596;44450727;44450727;44450727;44451072;44451072;44451072;44451293;44451293;44451293;44456843;44456843;44456843	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2425	0	1	2	0	2	0
CCDC24	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44457280;44457519;44457884;44458195;44459559;44460780;44461273;44461450;44461610	44457418;44457676;44458059;44458311;44459636;44460834;44461342;44461528;44462198	+;+;+;+;+;+;+;+;+	1461	0	0	0	0	0	0
SLC6A9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44462155;44462155;44462155;44463527;44463527;44463527;44466439;44466439;44466439;44466628;44466628;44466628;44466836;44466836;44466836;44467062;44467062;44467062;44467985;44467985;44467985;44468184;44468184;44468184;44468525;44468525;44468525;44474025;44474025;44474025;44475637;44475637;44475637;44476398;44476398;44476398;44477233;44482719;44482719;44489920;44496978	44463411;44463411;44463411;44463697;44463697;44463697;44466539;44466539;44466539;44466727;44466727;44466727;44466970;44466970;44466970;44467299;44467299;44467299;44468088;44468088;44468088;44468318;44468318;44468318;44468657;44468657;44468657;44474295;44474295;44474295;44475768;44475768;44475768;44476554;44476554;44476554;44477394;44482997;44482997;44490034;44497134	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3647	0	0	0	0	0	0
KLF17	chr1;chr1;chr1;chr1	44584522;44595025;44596184;44598910	44584660;44595868;44596428;44600809	+;+;+;+	3128	0	0	0	0	0	0
DMAP1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44679125;44679125;44679125;44679381;44679421;44680022;44680022;44680022;44680375;44680375;44680375;44683983;44683983;44683983;44684260;44684260;44684260;44684728;44684728;44684728;44685078;44685078;44685078;44685478;44685478;44685478;44685689;44685689;44685689;44686231;44686231;44686231	44679199;44679530;44679199;44679530;44679530;44680113;44680113;44680113;44680570;44680570;44680570;44684141;44684141;44684141;44684427;44684427;44684427;44684913;44684913;44684913;44685149;44685149;44685149;44685550;44685550;44685550;44685981;44685981;44685981;44686351;44686351;44686351	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1766	0	2	0	1	0	0
ERI3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44686742;44713611;44750507;44773982;44778841;44785300;44804717;44818522;44820564	44687312;44713710;44750579;44774073;44778900;44785416;44804994;44818597;44820939	-;-;-;-;-;-;-;-;-	1743	3	1	0	0	0	1
RNF220	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	44870960;44877653;45079837;45088414;45091969;45098015;45101217;45101702;45110370;45110667;45110893;45111082;45115333;45115555;45116376	44871202;44878394;45079969;45088459;45092070;45098057;45101260;45101834;45110466;45110753;45110948;45111160;45115441;45115629;45117396	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3010	1	0	0	0	0	0
TMEM53	chr1;chr1;chr1	45119501;45125846;45140003	45120881;45125967;45140099	-;-;-	1600	0	0	0	1	0	0
C1orf228	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45140394;45155348;45162774;45163735;45166595;45169761;45189794;45189992;45190211;45190434;45190808;45190963	45140545;45155575;45162842;45163901;45166791;45169845;45189916;45190064;45190340;45190511;45190889;45191263	+;+;+;+;+;+;+;+;+;+;+;+	1685	0	0	0	0	0	0
KIF2C	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45205490;45206585;45213056;45213324;45216114;45218804;45219405;45220422;45221601;45221747;45223228;45223580;45223721;45224878;45225952;45226264;45227588;45228018;45228217;45232498;45232769	45205674;45206679;45213157;45213372;45216236;45218926;45219505;45220517;45221655;45221909;45223318;45223643;45223812;45225020;45226156;45226374;45227655;45228123;45228330;45232621;45233438	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2880	3	2	1	6	4	4
RPS8	chr1;chr1;chr1;chr1;chr1;chr1	45241246;45241706;45242347;45243286;45243672;45244248	45241272;45241812;45242446;45243461;45243801;45244412	+;+;+;+;+;+	705	2	3	5	3	5	4
SNORD55	chr1	45241537	45241610	+	74	0	0	0	0	0	0
SNORD46	chr1	45242164	45242261	+	98	0	0	0	0	0	0
SNORD38A	chr1	45243514	45243584	+	71	0	0	0	0	0	0
SNORD38B	chr1	45244062	45244130	+	69	0	0	0	0	0	0
BEST4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45249257;45250301;45250577;45250780;45251271;45251746;45252135;45253044;45253226	45250155;45250455;45250657;45250977;45251348;45251900;45252368;45253138;45253426	-;-;-;-;-;-;-;-;-	2096	0	0	0	0	0	0
PLK3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45266036;45266512;45266708;45267294;45267517;45268432;45268627;45268940;45269272;45269603;45269835;45270011;45270322;45270938;45271159	45266345;45266619;45266824;45267423;45267604;45268527;45268825;45269063;45269363;45269696;45269918;45270173;45270451;45271051;45271667	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2358	0	0	0	1	0	0
TCTEX1D4	chr1;chr1	45271586;45272456	45272347;45272957	-;-	1264	0	0	0	0	0	0
BTBD19	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45274154;45275885;45276226;45277711;45278668;45278810;45279046;45279310	45274578;45276098;45276279;45277770;45278736;45278941;45279171;45279801	+;+;+;+;+;+;+;+	1572	0	0	0	0	0	0
PTCH2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45285516;45287938;45288274;45288741;45288741;45288915;45288915;45291922;45291922;45292160;45292160;45292574;45292574;45292839;45292839;45293074;45293074;45293515;45293515;45293968;45293968;45294178;45294178;45294654;45294654;45294829;45294829;45295074;45295074;45295286;45295286;45295581;45295581;45296520;45296520;45297378;45297378;45297647;45297647;45297824;45297824;45307519;45307519;45308533;45308533	45286376;45288341;45288341;45288840;45288840;45289057;45289057;45292059;45292059;45292440;45292440;45292754;45292754;45292981;45292981;45293386;45293386;45293863;45293863;45294086;45294086;45294303;45294303;45294746;45294746;45294984;45294984;45295205;45295205;45295433;45295433;45295702;45295702;45296715;45296715;45297469;45297469;45297716;45297716;45298013;45298013;45307711;45307711;45308616;45308616	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4634	1	0	0	0	0	0
EIF2B3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45316194;45323376;45340192;45340350;45341290;45341290;45345490;45345490;45347284;45347284;45363027;45363027;45392300;45392300;45407178;45407178;45443987;45443987;45446693;45446693;45452165;45452165	45316675;45323479;45340498;45340498;45341367;45341367;45345680;45345680;45347411;45347411;45363116;45363116;45392411;45392411;45407337;45407337;45444132;45444132;45446849;45446849;45452361;45452361	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2152	1	1	1	0	0	0
HECTD3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45468220;45469341;45469527;45469732;45469920;45470272;45471466;45471669;45472364;45472623;45472891;45473085;45473912;45474208;45474816;45475041;45475240;45475658;45475873;45476218;45476561	45469248;45469412;45469608;45469806;45470049;45470478;45471555;45471788;45472467;45472687;45472943;45473267;45473993;45474373;45474898;45475154;45475355;45475793;45475965;45476378;45477027	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3628	0	0	0	0	0	0
UROD	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45477805;45477805;45478529;45478579;45478808;45478808;45478964;45478964;45479266;45479266;45479581;45479581;45480111;45480111;45480408;45480408;45480612;45480612;45481009;45481009	45477957;45477957;45478691;45478691;45478887;45478887;45479026;45479026;45479463;45479463;45479742;45479742;45480248;45480248;45480508;45480508;45480678;45480678;45481341;45481341	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1458	2	0	0	0	0	0
ZSWIM5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45482076;45485738;45486297;45499984;45501360;45501711;45504608;45506064;45508891;45516746;45524281;45525771;45553553;45671428	45484988;45485819;45486460;45500141;45501495;45501971;45504745;45506210;45509067;45516925;45524431;45525919;45553909;45672250	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5836	0	1	0	0	0	1
LOC400752	chr1	45769582	45771291	+	1710	0	0	0	0	0	0
HPDL	chr1	45792545	45794346	+	1802	0	0	0	0	0	0
MUTYH	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45794914;45794914;45794914;45794914;45794914;45794914;45796188;45796188;45796188;45796188;45796188;45796188;45796854;45796854;45796854;45796854;45796854;45796854;45797092;45797092;45797092;45797092;45797092;45797092;45797333;45797333;45797333;45797333;45797333;45797333;45797695;45797695;45797695;45797695;45797695;45797695;45797838;45797838;45797838;45797838;45797838;45797838;45798063;45798063;45798063;45798063;45798063;45798063;45798246;45798246;45798246;45798246;45798246;45798246;45798435;45798435;45798435;45798435;45798435;45798435;45798590;45798590;45798590;45798590;45798590;45798590;45798769;45798769;45798769;45798769;45798769;45798769;45798957;45798957;45798957;45798957;45798957;45798957;45799085;45799085;45799085;45799085;45799085;45799085;45800063;45800063;45800063;45800063;45800063;45800063;45805571;45805648;45805648;45805891;45805891;45805891	45795109;45795109;45795109;45795109;45795109;45795109;45796229;45796229;45796229;45796229;45796229;45796229;45797006;45797006;45797006;45797006;45797006;45797006;45797228;45797228;45797228;45797228;45797228;45797228;45797521;45797521;45797521;45797521;45797521;45797521;45797758;45797758;45797758;45797758;45797758;45797758;45797982;45797982;45797982;45797982;45797982;45797982;45798160;45798160;45798160;45798160;45798160;45798160;45798359;45798359;45798359;45798359;45798359;45798359;45798506;45798506;45798506;45798506;45798506;45798506;45798631;45798631;45798631;45798631;45798631;45798631;45798842;45798842;45798842;45798842;45798842;45798842;45798996;45798996;45798996;45798996;45798996;45798996;45799233;45799233;45799233;45799236;45799266;45799275;45800183;45800183;45800183;45800183;45800183;45800183;45805629;45805787;45805787;45806142;45806142;45806142	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2129	0	0	0	0	0	0
TOE1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45805342;45806745;45806975;45807145;45807621;45808056;45808515;45808754	45805976;45806887;45807015;45807241;45807779;45808315;45808674;45809650	+;+;+;+;+;+;+;+	2392	0	0	0	0	0	0
TESK2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45809555;45811549;45812365;45812651;45813281;45813590;45820975;45851584;45887397;45923236;45956524	45811230;45811666;45812451;45812734;45813365;45813672;45821121;45851632;45887518;45923543;45956840	-;-;-;-;-;-;-;-;-;-;-	3076	0	0	0	0	0	0
CCDC163P	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45959598;45959598;45959598;45961090;45961090;45962228;45962228;45962228;45962971;45962971;45965017;45965017;45965017;45965204;45965204;45965204	45960838;45960838;45960838;45961217;45961217;45962295;45962295;45962295;45963055;45963055;45965115;45965115;45965115;45965751;45965751;45965751	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2169	0	0	0	0	0	0
MMACHC	chr1;chr1;chr1;chr1	45965856;45973028;45973884;45974468	45966085;45973222;45974036;45976739	+;+;+;+	2850	1	0	0	0	0	0
PRDX1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	45976707;45976707;45976707;45976707;45980179;45980179;45980179;45980179;45980545;45980545;45980545;45980545;45981326;45981326;45981326;45981326;45984610;45984610;45984610;45984610;45987281;45987307;45987501;45988450	45977086;45977086;45977086;45977086;45980309;45980309;45980309;45980309;45980667;45980667;45980667;45980667;45981479;45981479;45981479;45981479;45984726;45984726;45984726;45984726;45987610;45987610;45987610;45988562	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1348	5	5	2	4	1	3
AKR1A1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46016455;46016455;46016455;46016455;46016638;46016638;46018108;46018108;46027461;46027461;46027461;46027461;46032241;46032241;46032241;46032241;46032541;46032541;46032541;46032541;46033654;46033654;46033654;46033654;46034157;46034157;46034157;46034157;46034599;46034599;46034599;46034599;46034815;46034815;46034815;46034815;46035563;46035563;46035563;46035563	46016548;46016548;46016827;46016827;46016827;46016827;46018235;46018235;46027550;46027550;46027550;46027550;46032360;46032360;46032360;46032360;46032692;46032692;46032692;46032692;46033849;46033849;46033849;46033849;46034356;46034356;46034356;46034356;46034671;46034671;46034671;46034671;46034901;46034901;46034901;46034901;46035723;46035723;46035723;46035723	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1580	0	2	0	0	1	0
NASP	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46049660;46049660;46049660;46056895;46056895;46056895;46067927;46067927;46070608;46070608;46072154;46072154;46072154;46072993;46072993;46078841;46078841;46078841;46079768;46079768;46079768;46079965;46079965;46079965;46080685;46080685;46080685;46080977;46080977;46080977;46082009;46082009;46082009;46082298;46082298;46082298;46083135;46083135;46083135;46083733;46083733;46083733	46049877;46049877;46049877;46056942;46056942;46056942;46068037;46068037;46070688;46070688;46072263;46072263;46072263;46074009;46074009;46078920;46078920;46078920;46079853;46079853;46079853;46080038;46080038;46080038;46080873;46080873;46080873;46081143;46081143;46081143;46082065;46082065;46082065;46082375;46082375;46082375;46083263;46083263;46083263;46084578;46084578;46084578	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3291	4	5	3	2	5	3
CCDC17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46085716;46085716;46086395;46086395;46086575;46086575;46086953;46086953;46087310;46087310;46087549;46087549;46087913;46087913;46088221;46088221;46088423;46088423;46088627;46088627;46088889;46088889;46089229;46089229;46089408;46089408	46086105;46086105;46086505;46086505;46086785;46086785;46087156;46087156;46087407;46087407;46087667;46087667;46088020;46088020;46088339;46088339;46088506;46088506;46088789;46088789;46089084;46089111;46089324;46089324;46089731;46089731	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2250	0	0	0	0	0	0
GPBP1L1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46092976;46095248;46096154;46099161;46099768;46105882;46108099;46120215;46120862;46124700;46125856;46151248;46152084	46094080;46095350;46096278;46099319;46099908;46106075;46108171;46120501;46120991;46124814;46126897;46151292;46152302	-;-;-;-;-;-;-;-;-;-;-;-;-	3738	1	0	0	0	1	1
RPS15AP10	chr1	46111452	46112357	-	906	0	0	0	0	0	0
TMEM69	chr1;chr1;chr1	46153847;46156646;46158876	46153947;46156782;46160108	+;+;+	1471	0	0	2	1	0	0
IPP	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46159998;46164407;46165742;46179918;46179918;46182567;46182567;46184875;46184875;46193303;46193303;46195286;46195286;46206573;46206573;46211792;46211792;46216269;46216269	46160187;46165862;46165862;46180138;46180138;46182689;46182689;46185012;46185012;46193470;46193470;46195441;46195441;46207004;46207004;46212133;46212133;46216485;46216485	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3443	0	0	0	0	0	0
MAST2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46269285;46290105;46295111;46348036;46425058;46463396;46468477;46471913;46473968;46476402;46485268;46487622;46488582;46488905;46489444;46491349;46493403;46494440;46495138;46495503;46495801;46496279;46496679;46497063;46497850;46498268;46499474;46499745;46500210	46269744;46290252;46295253;46348067;46425149;46463471;46468555;46472067;46474043;46476611;46485369;46487754;46488643;46488990;46489652;46491487;46493535;46494605;46495239;46495625;46495910;46496433;46496962;46497257;46498076;46498390;46499610;46499938;46501796	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5738	3	2	1	0	2	0
PIK3R3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46505812;46505812;46511590;46511590;46512223;46512223;46521467;46521467;46527601;46527601;46531726;46531726;46532583;46532583;46543187;46543187;46546314;46546314;46597519;46597519;46598456	46509543;46509543;46511760;46511760;46512297;46512297;46521643;46521643;46527743;46527743;46531851;46531851;46532763;46532763;46543285;46543285;46546422;46546422;46597628;46598380;46598708	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5928	1	1	0	0	0	0
TSPAN1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46640749;46646198;46646772;46649863;46650266;46650457;46650632;46650897;46651158	46641081;46646330;46646836;46650069;46650340;46650555;46650787;46650980;46651634	+;+;+;+;+;+;+;+;+	1629	0	0	0	0	0	0
POMGNT1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46654353;46654353;46654914;46655130;46655156;46655526;46655526;46656145;46656145;46656392;46656392;46657770;46657770;46657980;46657980;46658190;46658190;46658572;46658572;46658846;46658846;46658977;46658977;46659236;46659236;46659527;46659527;46659946;46659946;46660225;46660225;46660516;46660516;46661483;46661483;46661684;46661684;46662403;46662403;46662642;46662642;46663374;46663374;46664008;46685377	46654652;46655029;46655029;46655239;46655239;46655661;46655661;46656189;46656189;46656456;46656456;46657895;46657895;46658108;46658108;46658262;46658262;46658630;46658630;46658887;46658887;46659060;46659060;46659311;46659311;46659597;46659597;46660073;46660073;46660323;46660323;46660633;46660633;46661596;46661596;46661749;46661749;46662521;46662521;46662756;46662756;46663543;46663543;46664121;46685977	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3337	0	0	0	0	0	0
C1orf190	chr1;chr1	46669006;46685371	46669296;46686928	+;+	1849	0	0	0	0	0	0
RAD54L	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46713367;46713367;46714016;46714184;46714184;46715672;46715672;46724358;46724358;46725636;46725636;46726214;46726214;46726399;46726399;46726933;46726933;46733131;46733131;46736331;46736331;46738138;46738138;46738344;46738344;46739027;46739027;46739296;46739296;46739810;46739810;46740210;46740210;46743489;46743489;46743744;46743744	46713418;46714080;46714080;46714270;46714270;46715791;46715791;46724418;46724418;46725771;46725771;46726283;46726283;46726687;46726687;46727057;46727057;46733281;46733281;46736457;46736457;46738212;46738212;46738474;46738474;46739137;46739137;46739419;46739419;46739888;46739888;46740389;46740389;46743652;46743652;46744145;46744145	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3146	0	1	0	0	0	0
LRRC41	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46744072;46744854;46745164;46745864;46746068;46746797;46751034;46763235;46763956;46768796	46744756;46744929;46745286;46745962;46746232;46747057;46752171;46763305;46764042;46769038	-;-;-;-;-;-;-;-;-;-	2948	1	2	1	0	0	0
UQCRH	chr1;chr1;chr1;chr1	46769380;46774773;46775827;46782224	46769492;46774799;46775988;46782447	+;+;+;+	526	2	0	1	1	2	0
NSUN4	chr1;chr1;chr1;chr1;chr1;chr1	46806390;46810473;46812593;46818540;46826376;46827242	46806591;46810816;46812747;46818700;46826500;46830690	+;+;+;+;+;+	4436	0	0	0	0	0	0
FAAH	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46859939;46867763;46870686;46871044;46871260;46871710;46871916;46874131;46874773;46876070;46876486;46877284;46877815;46878747;46879119	46860215;46867876;46870820;46871177;46871466;46871750;46872040;46874256;46874870;46876169;46876526;46877323;46877923;46878892;46879520	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2095	0	0	0	0	0	0
DMBX1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	46972668;46972668;46976133;46976148;46976607;46976607;46977715;46977715	46972836;46972836;46976326;46976326;46976955;46976955;46979886;46979886	+;+;+;+;+;+;+;+	2884	0	1	0	0	0	0
